Format: LABEL: Previous <| Matched words |> Next  --  [Pattern used]  {Original file}  Number of occurrence

CONTACT: Joan <| Fultz |> and -- [BOB FULTZ]  {allamericangifts.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: Dallas <| Pest |> Association -- [ALL-SAFE PEST & TERMITE]  {all-safe-pest.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Tennis |> has -- [ALL ABOUT TENNIS]  {allabouttennis.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Buy <| Printing |> Locally -- [ALL AMERICAN PRINTING SVC]  {allamericanprinting.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 5

COMPANY: | <| All Action |> Corporate -- [ALL ACTION LIMOUSINE SVC]  {allactionlimousine.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 2

COMPANY:  <| Al |> Hayat -- [AL JADID MAGAZINE]  {aljadid.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Coast <| Forest Products |> locations -- [ALL-COAST FOREST PRODUCTS INC]  {all-coast.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: more <| Kidney |> Facts -- [ALABAMA KIDNEY FOUNDATION INC]  {alkidney.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 7

CONTACT: Dr. <| Dicou |> enjoys -- [LESLIE DICOU]  {allaboutpetsprovo.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: every <| All American |> custom -- [ALL AMERICAN POOLS & SPAS INC]  {allamericanpools.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: help <| Alabama |> ’ -- [ALABAMA KIDNEY FOUNDATION INC]  {alkidney.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Ice Cream |>  -- [ALL ABOUT ICE CREAM]  {allabouticecream.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: ALI'I <| ANTIQUES |>  -- [ALII ANTIQUES OF KAILUA]  {aliiantiques.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Commercial <| Christmas |> Displays -- [ALL AMERICAN CHRISTMAS CO]  {allamericanchristmas.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: View <| All |> Services -- [ALL AMERICAN BUILDERS INC]  {allamericanbuilders.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: West <| Africa |> Home -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 4

